
 OPENMP 16 
threads, Sym_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000002, 0.8422, 0.176471, 17.65
2, 0.000013, 0.1528, 0.032028, 1.60
4, 0.000017, 0.1205, 0.025245, 0.63
8, 0.000023, 0.0908, 0.019027, 0.24
16, 0.000033, 0.0616, 0.012903, 0.08
32, 0.000053, 0.0383, 0.008029, 0.03
64, 0.000104, 0.0197, 0.004119, 0.01
threads, Tran_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000001, 1.5070, 0.508772, 50.88
2, 0.000014, 0.1476, 0.049828, 2.49
4, 0.000153, 0.0134, 0.004509, 0.11
8, 0.000015, 0.1353, 0.045669, 0.57
16, 0.000021, 0.0982, 0.033143, 0.21
32, 0.000039, 0.0519, 0.017533, 0.05
64, 0.000091, 0.0226, 0.007618, 0.01

 OPENMP 32 
threads, Sym_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000003, 2.6431, 0.500000, 50.00
2, 0.000015, 0.5428, 0.102686, 5.13
4, 0.000016, 0.5190, 0.098187, 2.45
8, 0.000020, 0.4110, 0.077751, 0.97
16, 0.000032, 0.2538, 0.048006, 0.30
32, 0.000054, 0.1511, 0.028584, 0.09
64, 0.000105, 0.0781, 0.014766, 0.02
threads, Tran_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000003, 2.3696, 0.675862, 67.59
2, 0.000031, 0.2639, 0.075269, 3.76
4, 0.000044, 0.1846, 0.052660, 1.32
8, 0.000107, 0.0762, 0.021744, 0.27
16, 0.000030, 0.2762, 0.078778, 0.49
32, 0.000045, 0.1838, 0.052434, 0.16
64, 0.000083, 0.0988, 0.028177, 0.04

 OPENMP 64 
threads, Sym_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000008, 4.2683, 0.785714, 78.57
2, 0.000016, 2.0575, 0.378743, 18.94
4, 0.000024, 1.3581, 0.250000, 6.25
8, 0.000026, 1.2494, 0.230000, 2.88
16, 0.000039, 0.8299, 0.152778, 0.95
32, 0.000057, 0.5751, 0.105858, 0.33
64, 0.000501, 0.0654, 0.012046, 0.02
threads, Tran_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000012, 2.7488, 0.824000, 82.40
2, 0.000052, 0.6354, 0.190476, 9.52
4, 0.000187, 0.1749, 0.052444, 1.31
8, 0.000123, 0.2656, 0.079614, 1.00
16, 0.000079, 0.4140, 0.124096, 0.78
32, 0.000075, 0.4345, 0.130256, 0.41
64, 0.000111, 0.2957, 0.088640, 0.14

 OPENMP 128 
threads, Sym_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000028, 4.7352, 0.882860, 88.29
2, 0.000042, 3.1469, 0.586720, 29.34
4, 0.000054, 2.4423, 0.455353, 11.38
8, 0.000061, 2.1576, 0.402276, 5.03
16, 0.000059, 2.2203, 0.413974, 2.59
32, 0.000078, 1.6843, 0.314032, 0.98
64, 0.000528, 0.2482, 0.046280, 0.07
threads, Tran_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000052, 2.5114, 0.800365, 80.04
2, 0.000102, 1.2815, 0.408392, 20.42
4, 0.000196, 0.6702, 0.213580, 5.34
8, 0.000402, 0.3261, 0.103933, 1.30
16, 0.000242, 0.5416, 0.172611, 1.08
32, 0.000166, 0.7901, 0.251796, 0.79
64, 0.000156, 0.8422, 0.268382, 0.42

 OPENMP 256 
threads, Sym_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000104, 5.0471, 0.966950, 96.69
2, 0.000155, 3.3930, 0.650054, 32.50
4, 0.000204, 2.5654, 0.491484, 12.29
8, 0.000173, 3.0273, 0.579983, 7.25
16, 0.000172, 3.0538, 0.585058, 3.66
32, 0.000169, 3.0955, 0.593046, 1.85
64, 0.000317, 1.6548, 0.317029, 0.50
threads, Tran_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000431, 1.2159, 0.836937, 83.69
2, 0.000327, 1.6041, 1.104092, 55.20
4, 0.000253, 2.0701, 1.424833, 35.62
8, 0.000286, 1.8322, 1.261123, 15.76
16, 0.000286, 1.8360, 1.263756, 7.90
32, 0.000478, 1.0960, 0.754386, 2.36
64, 0.000332, 1.5784, 1.086420, 1.70

 OPENMP 512 
threads, Sym_OpenMP, bandwidth, Speedup, Efficiency
1, 0.000517, 4.0539, 0.955848, 95.58
2, 0.000651, 3.2237, 0.760097, 38.00
